"","genres","primary_title","average_rating"
"1","Horror","The Beach Girls and the Monster",3.4
"2","Horror","Blood Beast of Monster Mountain",3.5
"3","Horror","Jan-Gel 3: Hillbilly Monster",3.6
"4","Horror","Lover of the Monster",4.8
"5","Horror","Monster Pool: Chapter Four",4.5
"6","Horror","The Monsters Hunt at Night",3.3
"7","Horror","Monster Movie",3.6
"8","Horror","Carnal Monsters",4.4
"9","Horror","The Hideous Bog Monster",1.2
"10","Horror","Monsters in the Woods",2.6
"11","Horror","Monster Grizzly",3
"12","Horror","Monsters",3.2
"13","Horror","Monster Mash",3.5
"14","Horror","Bloody Monster",3.8
"15","Horror","Monsters of Carnage",5
"16","Horror","Monsters",4.2
"17","Horror","Mystery of Faceless Man: History of Monster",1.2
"18","Horror","Hide the Monster",4.7
"19","Horror","Monster X",3.5
"20","Horror","A Brilliant Monster",2.9
"21","Horror","Monsterland 2",4.2
"22","Horror","No Such Thing As Monsters",4
